,userid,pageRank,lang,wikiDataItemId,dbPediaIri,propagator
0,1258981724,0.0003345874176693497,en,Q3595513,http://dbpedia.org/resource/Not_out,0
1,1258981724,0.000563538576353677,en,Q186529,http://dbpedia.org/resource/Narcissism,0
2,1258981724,0.001250961313338798,en,Q371,http://dbpedia.org/resource/!!!,0
3,1258981724,0.000491670114100546,en,Q3047014,"http://dbpedia.org/resource/Echo_Park,_Los_Angeles",0
4,1258981724,0.001494763246245243,en,Q65,http://dbpedia.org/resource/Los_Angeles,0
5,1258981724,0.0008637118679619665,en,Q99,http://dbpedia.org/resource/California,0
6,1258981724,0.001138760171439764,en,Q96,http://dbpedia.org/resource/Mexico,0
7,1258981724,0.0005992870128276885,en,Q16841233,http://dbpedia.org/resource/Harlettes,0
8,1258981724,0.0008514178877105264,en,Q694159,http://dbpedia.org/resource/Boogie_Woogie_Bugle_Boy,0
9,1258981724,0.0003797919204573391,en,Q1618101,http://dbpedia.org/resource/Nielsen_ratings,0
10,1258981724,0.0003902206052412128,en,Q235858,http://dbpedia.org/resource/Folk_music,0
11,1258981724,0.0003773537750252523,en,Q515,http://dbpedia.org/resource/City,0
12,1258981724,0.0005682874265388431,en,Q58721,http://dbpedia.org/resource/Irreligion,0
13,1258981724,0.0003858209507861255,en,Q327591,http://dbpedia.org/resource/Independent_politician,0
14,1258981724,0.00069561392580977,en,Q18575,"http://dbpedia.org/resource/Tucson,_Arizona",0
15,1258981724,0.0004142910079200509,en,Q3154693,http://dbpedia.org/resource/Ayuntamiento,0
16,1258981724,0.0003619311117557589,en,Q1076509,http://dbpedia.org/resource/Masculinity,0
17,1258981724,0.0006292375435745261,en,Q258896,http://dbpedia.org/resource/Banjo,0
18,1258981724,0.0003486049865826855,en,Q467,http://dbpedia.org/resource/Woman,0
19,1258981724,0.0005135933802500335,en,Q5,http://dbpedia.org/resource/Human,0
20,1258981724,0.0005711922869650152,en,Q8458,http://dbpedia.org/resource/Human_rights,0
21,1258981724,0.0003424685011981998,en,Q1072,http://dbpedia.org/resource/Heart,0
22,1258981724,0.0004933500841991455,en,Q7888194,,0
23,1258981724,0.000375936583207994,en,Q329777,http://dbpedia.org/resource/Appellate_procedure_in_the_United_States,0
24,1258981724,0.0005279542961777736,en,Q132821,http://dbpedia.org/resource/Murder,0
25,1258981724,0.0003285815407632283,en,Q7569,http://dbpedia.org/resource/Child,0
26,1258981724,0.0004135168921940392,en,Q167191,http://dbpedia.org/resource/Child_abuse,0
27,1258981724,0.0003376153177752014,en,Q131774,http://dbpedia.org/resource/Adolescence,0
